Crash Number,Date Time,Year,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Weather,Hospitals,Gender
24029,4/10/2010,2010,Saturday,Auto,Fixed Object,,,,"  &  Cambridge, MA",-71.1097335,42.3736158,SUNNY,1,1
24555,8/2/2010,2010,Monday,Auto,Auto,,OXFORD AVE,," OXFORD AVE &  Cambridge, MA",-71.1097335,42.3736158,rain,1,1
24967,10/23/2010,2010,Saturday,Taxi,Bicycle,,,,"  &  Cambridge, MA",-71.1097335,42.3736158,clear,1,2
29404,7/16/2013,2013,Tuesday,Auto,Auto,,FIRST ST,," FIRST ST &  Cambridge, MA",-71.1097335,42.3736158,SUNNY,1,2
23658,1/6/2010,2010,Thursday,Auto,Parked Vehicle,,Ames St,," Ames St &  Cambridge, MA",-71.1097335,42.3736158,cloudy,1,1
23661,1/7/2010,2010,Thursday,Auto,Fixed Object,,Wheeler St,," Wheeler St &  Cambridge, MA",-71.1097335,42.3736158,"sleet,hail,freezing rain or drizzle",1,1
23767,2/5/2010,2010,Friday,Truck,Auto,,DAVENPORT ST,," DAVENPORT ST &  Cambridge, MA",-71.1097335,42.3736158,rain,1,1
23669,1/8/2010,2010,Friday,Auto,Parked Vehicle,,Shepard St,," Shepard St &  Cambridge, MA",-71.1097335,42.3736158,SUNNY,1,1
23683,1/9/2010,2010,Wednesday,Auto,Parked Vehicle,,York St,," York St &  Cambridge, MA",-71.1097335,42.3736158,"sleet,hail,freezing rain or drizzle",1,1
23680,1/11/2010,2010,Monday,Auto,Parked Vehicle,,Massachusetts Ave,," Massachusetts Ave &  Cambridge, MA",-71.1097335,42.3736158,cloudy,1,2
23697,1/16/2010,2010,Saturday,Auto,Parked Vehicle,,MAGAZINE ST,," MAGAZINE ST &  Cambridge, MA",-71.1097335,42.3736158,clear,1,2
23707,1/19/2010,2010,Tuesday,Auto,Parked Vehicle,,MERCER CIR,Sparks St," MERCER CIR & Sparks St Cambridge, MA",-71.1097335,42.3736158,"sleet,hail,freezing rain or drizzle",1,1
23708,1/19/2010,2010,Tuesday,Truck,Taxi,,Binney St,," Binney St &  Cambridge, MA",-71.1097335,42.3736158,rain,1,1
23722,1/25/2010,2010,Monday,Auto,Pedestrian,,KIRKLAND ST,," KIRKLAND ST &  Cambridge, MA",42.361145,-71.057083,rain,1,2
24066,4/17/2010,2010,,,,,,,"  &  Cambridge, MA",42.361145,-71.057083,cloudy,1,1
24026,4/9/2010,2010,Friday,Auto,Pedestrian,,Church St,," Church St &  Cambridge, MA",42.361145,-71.057083,rain,1,1
23794,2/12/2010,2010,Friday,Auto,Auto,,SMITH PL,," SMITH PL &  Cambridge, MA",42.361145,-71.057083,cloudy,1,1
24096,4/23/2010,2010,Friday,Auto,Bicycle,,Massachusetts Ave,," Massachusetts Ave &  Cambridge, MA",42.361145,-71.057083,cloudy,1,2
23814,2/16/2010,2010,Tuesday,Auto,Fixed Object,,MOUNT AUBURN ST,," MOUNT AUBURN ST &  Cambridge, MA",42.361145,-71.057083,SUNNY,5,2
1500000486,3/19/2015,2015,Thursday,PASSENGER CAR,,,BROADWAY,,BROADWAY,42.361145,-71.057083,"sleet,hail,freezing rain or drizzle",1,1
23843,2/25/2010,2010,Thursday,Auto,Parked Vehicle,,Blake St,," Blake St &  Cambridge, MA",42.361145,-71.057083,"sleet,hail,freezing rain or drizzle",1,2
23845,2/26/2010,2010,Friday,Auto,Auto,,Massachusetts Ave,," Massachusetts Ave &  Cambridge, MA",42.361145,-71.057083,cloudy,1,1
