"","crash_number","date_time","year","day_of_week","object_1","object_2","street_name","location","Longitude","Latitude","weather","hospitals","gender","month","month_name","day","Weekday","dow","Week","Season"
"1",24029,2010-04-10,2010,"Saturday","Auto","Fixed Object","","  &  Cambridge, MA",-71.1097335,42.3736158,"SUNNY","1","Female",4,"Apr",10,"Saturday",7,15,"Spring"
"2",24555,2010-08-02,2010,"Monday","Auto","Auto","OXFORD AVE"," OXFORD AVE &  Cambridge, MA",-71.1097335,42.3736158,"rain","1","Female",8,"Aug",2,"Monday",2,31,"Summer"
"3",24967,2010-10-23,2010,"Saturday","Taxi","Bicycle","","  &  Cambridge, MA",-71.1097335,42.3736158,"clear","1","Male",10,"Oct",23,"Saturday",7,43,"Fall"
"4",29404,2013-07-16,2013,"Tuesday","Auto","Auto","FIRST ST"," FIRST ST &  Cambridge, MA",-71.1097335,42.3736158,"SUNNY","1","Male",7,"Jul",16,"Tuesday",3,29,"Summer"
"5",23658,2010-01-06,2010,"Thursday","Auto","Parked Vehicle","Ames St"," Ames St &  Cambridge, MA",-71.1097335,42.3736158,"cloudy","1","Female",1,"Jan",6,"Wednesday",4,1,"Winter"
"6",23661,2010-01-07,2010,"Thursday","Auto","Fixed Object","Wheeler St"," Wheeler St &  Cambridge, MA",-71.1097335,42.3736158,"sleet,hail,freezing rain or drizzle","1","Female",1,"Jan",7,"Thursday",5,1,"Winter"
"7",23767,2010-02-05,2010,"Friday","Truck","Auto","DAVENPORT ST"," DAVENPORT ST &  Cambridge, MA",-71.1097335,42.3736158,"rain","1","Female",2,"Feb",5,"Friday",6,6,"Winter"
"8",23669,2010-01-08,2010,"Friday","Auto","Parked Vehicle","Shepard St"," Shepard St &  Cambridge, MA",-71.1097335,42.3736158,"SUNNY","1","Female",1,"Jan",8,"Friday",6,2,"Winter"
"9",23683,2010-01-09,2010,"Wednesday","Auto","Parked Vehicle","York St"," York St &  Cambridge, MA",-71.1097335,42.3736158,"sleet,hail,freezing rain or drizzle","1","Female",1,"Jan",9,"Saturday",7,2,"Winter"
"10",23680,2010-01-11,2010,"Monday","Auto","Parked Vehicle","Massachusetts Ave"," Massachusetts Ave &  Cambridge, MA",-71.1097335,42.3736158,"cloudy","1","Male",1,"Jan",11,"Monday",2,2,"Winter"
"11",23697,2010-01-16,2010,"Saturday","Auto","Parked Vehicle","MAGAZINE ST"," MAGAZINE ST &  Cambridge, MA",-71.1097335,42.3736158,"clear","1","Male",1,"Jan",16,"Saturday",7,3,"Winter"
"12",23707,2010-01-19,2010,"Tuesday","Auto","Parked Vehicle","MERCER CIR"," MERCER CIR & Sparks St Cambridge, MA",-71.1097335,42.3736158,"sleet,hail,freezing rain or drizzle","1","Female",1,"Jan",19,"Tuesday",3,3,"Winter"
"13",23708,2010-01-19,2010,"Tuesday","Truck","Taxi","Binney St"," Binney St &  Cambridge, MA",-71.1097335,42.3736158,"rain","1","Female",1,"Jan",19,"Tuesday",3,3,"Winter"
"14",23722,2010-01-25,2010,"Monday","Auto","Pedestrian","KIRKLAND ST"," KIRKLAND ST &  Cambridge, MA",-71.057083,42.361145,"rain","1","Male",1,"Jan",25,"Monday",2,4,"Winter"
"15",24066,2010-04-17,2010,"","","","","  &  Cambridge, MA",-71.057083,42.361145,"cloudy","1","Female",4,"Apr",17,"Saturday",7,16,"Spring"
"16",24026,2010-04-09,2010,"Friday","Auto","Pedestrian","Church St"," Church St &  Cambridge, MA",-71.057083,42.361145,"rain","1","Female",4,"Apr",9,"Friday",6,15,"Spring"
"17",23794,2010-02-12,2010,"Friday","Auto","Auto","SMITH PL"," SMITH PL &  Cambridge, MA",-71.057083,42.361145,"cloudy","1","Female",2,"Feb",12,"Friday",6,7,"Winter"
"18",24096,2010-04-23,2010,"Friday","Auto","Bicycle","Massachusetts Ave"," Massachusetts Ave &  Cambridge, MA",-71.057083,42.361145,"cloudy","1","Male",4,"Apr",23,"Friday",6,17,"Spring"
"19",23814,2010-02-16,2010,"Tuesday","Auto","Fixed Object","MOUNT AUBURN ST"," MOUNT AUBURN ST &  Cambridge, MA",-71.057083,42.361145,"SUNNY","5","Male",2,"Feb",16,"Tuesday",3,7,"Winter"
"20",1500000486,2015-03-19,2015,"Thursday","PASSENGER CAR","","BROADWAY","BROADWAY",-71.057083,42.361145,"sleet,hail,freezing rain or drizzle","1","Female",3,"Mar",19,"Thursday",5,12,"Spring"
"21",23843,2010-02-25,2010,"Thursday","Auto","Parked Vehicle","Blake St"," Blake St &  Cambridge, MA",-71.057083,42.361145,"sleet,hail,freezing rain or drizzle","1","Male",2,"Feb",25,"Thursday",5,8,"Winter"
"22",23845,2010-02-26,2010,"Friday","Auto","Auto","Massachusetts Ave"," Massachusetts Ave &  Cambridge, MA",-71.057083,42.361145,"cloudy","1","Female",2,"Feb",26,"Friday",6,9,"Winter"
"23",23867,2010-03-01,2010,"Monday","Auto","Parked Vehicle","Mount Vernon St"," Mount Vernon St &  Cambridge, MA",-71.057083,42.361145,"sleet,hail,freezing rain or drizzle","1","Female",3,"Mar",1,"Monday",2,9,"Spring"
"24",23863,2010-03-02,2010,"Wednesday","Auto","Parked Vehicle","GARDEN ST"," GARDEN ST &  Cambridge, MA",-71.057083,42.361145,"sleet,hail,freezing rain or drizzle","1","Male",3,"Mar",2,"Tuesday",3,9,"Spring"
"25",23868,2010-03-03,2010,"Wednesday","Auto","Fixed Object","DAVIS ST"," DAVIS ST &  Cambridge, MA",-71.057083,42.361145,"sleet,hail,freezing rain or drizzle","1","Female",3,"Mar",3,"Wednesday",4,9,"Spring"
"26",23872,2010-03-03,2010,"Wednesday","Auto","Pedestrian","PLEASANT ST"," PLEASANT ST &  Cambridge, MA",-71.057083,42.361145,"SUNNY","1","Female",3,"Mar",3,"Wednesday",4,9,"Spring"
"27",23876,2010-03-03,2010,"Wednesday","Auto","Parked Vehicle","Vassal Ln"," Vassal Ln &  Cambridge, MA",-71.057083,42.361145,"sleet,hail,freezing rain or drizzle","1","Female",3,"Mar",3,"Wednesday",4,9,"Spring"
"28",23926,2010-03-06,2010,"Saturday","Auto","Auto","Alewife Brook Pky"," Alewife Brook Pky &  Cambridge, MA",-71.057083,42.361145,"snow","1","Female",3,"Mar",6,"Saturday",7,10,"Spring"
"29",23889,2010-03-07,2010,"Sunday","Auto","Parked Vehicle","Berkshire St"," Berkshire St &  Cambridge, MA",-71.057083,42.361145,"clear","1","Male",3,"Mar",7,"Sunday",1,10,"Spring"
"30",1500000608,2015-04-18,2015,"Saturday","PASSENGER CAR","","STATE STREET","STATE STREET",-71.057083,42.361145,"sleet,hail,freezing rain or drizzle","1","Male",4,"Apr",18,"Saturday",7,16,"Spring"
"31",25844,2011-04-13,2011,"","Auto","Auto","Bishop Allen Dr"," Bishop Allen Dr &  Cambridge, MA",-71.057083,42.361145,"SUNNY","1","Female",4,"Apr",13,"Wednesday",4,15,"Spring"
"32",23924,2010-03-17,2010,"Wednesday","Auto","Fixed Object","New St"," New St &  Cambridge, MA",-71.057083,42.361145,"SUNNY","1","Male",3,"Mar",17,"Wednesday",4,11,"Spring"
"33",24039,2010-03-23,2010,"Tuesday","Auto","Auto","","  &  Cambridge, MA",-71.057083,42.361145,"SUNNY","1","Male",3,"Mar",23,"Tuesday",3,12,"Spring"
"34",23960,2010-03-25,2010,"Thursday","Auto","Parked Vehicle","FRESH POND PKY"," FRESH POND PKY &  Cambridge, MA",-71.057083,42.361145,"SUNNY","1","Female",3,"Mar",25,"Thursday",5,12,"Spring"
"35",23970,2010-03-26,2010,"Friday","Auto","Auto","MANASSAS AVE"," MANASSAS AVE &  Cambridge, MA",-71.057083,42.361145,"cloudy","1","Female",3,"Mar",26,"Friday",6,13,"Spring"
"36",23990,2010-03-31,2010,"Wednesday","Auto","Pedestrian","Rindge Ave"," Rindge Ave & SCHOOL ST Cambridge, MA",-71.057083,42.361145,"SUNNY","1","Male",3,"Mar",31,"Wednesday",4,13,"Spring"
"37",24009,2010-04-04,2010,"Sunday","Auto","Auto","LINE ST"," LINE ST &  Cambridge, MA",-71.057083,42.361145,"snow","1","Male",4,"Apr",4,"Sunday",1,14,"Spring"
"38",24010,2010-04-05,2010,"Monday","Bicycle","Miscellaneous","KIRKLAND ST"," KIRKLAND ST &  Cambridge, MA",-71.057083,42.361145,"SUNNY","1","Female",4,"Apr",5,"Monday",2,14,"Spring"
"39",24014,2010-04-07,2010,"Wednesday","Auto","Auto","PLEASANT ST"," PLEASANT ST &  Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Male",4,"Apr",7,"Wednesday",4,14,"Spring"
"40",24031,2010-04-10,2010,"Saturday","Auto","Pedestrian","FRESH POND PKY"," FRESH POND PKY &  Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Male",4,"Apr",10,"Saturday",7,15,"Spring"
"41",24344,2010-04-16,2010,"","Auto","Auto","","  &  Cambridge, MA",-71.0967,42.363207,"cloudy","1","Female",4,"Apr",16,"Friday",6,16,"Spring"
"42",24080,2010-04-19,2010,"Monday","Auto","Parked Vehicle","Porter Sq"," Porter Sq &  Cambridge, MA",-71.0967,42.363207,"clear","1","Female",4,"Apr",19,"Monday",2,16,"Spring"
"43",24084,2010-04-21,2010,"Wednesday","Auto","Pedestrian","HAWTHORNE ST"," HAWTHORNE ST & MOUNT AUBURN ST Cambridge, MA",-71.0967,42.363207,"rain","1","Female",4,"Apr",21,"Wednesday",4,16,"Spring"
"44",24107,2010-04-22,2010,"Thursday","Auto","Parked Vehicle","White St"," White St &  Cambridge, MA",-71.0967,42.363207,"rain","1","Male",4,"Apr",22,"Thursday",5,16,"Spring"
"45",24119,2010-04-28,2010,"Wednesday","Auto","Parked Vehicle","Broadway"," Broadway &  Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Female",4,"Apr",28,"Wednesday",4,17,"Spring"
"46",24163,2010-05-01,2010,"Saturday","Auto","Parked Vehicle","IRVING ST"," IRVING ST &  Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Female",5,"May",1,"Saturday",7,18,"Spring"
"47",24144,2010-05-03,2010,"Monday","Auto","Parked Vehicle","Brattle St"," Brattle St &  Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Male",5,"May",3,"Monday",2,18,"Spring"
